genus,species,sex,l50.mm,location,marine.region,indicator.species,indicator.region,measurement.type,hermaphrodite,source
Scomberomorus,semifasciatus,F,700,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Scomberomorus,semifasciatus,M,660,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Scomberomorus,commerson,F,790,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Scomberomorus,commerson,M,630,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Coryphaena,hippurus,F,457,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Coryphaena,hippurus,M,476,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Carcharhinus,plumbeus,F,1360,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Carcharhinus,obscurus,F,2540,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lates,calcarifer,B,550,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lates,calcarifer,B,600,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Cnidoglanis,macrocephalus,F,405,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Cnidoglanis,macrocephalus,F,419,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Cnidoglanis,macrocephalus,M,385,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,johnii,F,560,NT,N,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,johnii,M,520,NT,N,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Platycephalus,endrachtenis,F,259,Swan River,SW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Platycephalus,endrachtenis,M,187,Swan River,SW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Platycephalus,speculator,F,250,Wilson Inlet,SW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Platycephalus,speculator,M,325,Wilson Inlet,SW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Argyrosomus,japonicus,F,903,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Argyrosomus,japonicus,M,873,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Protonibea,diacanthus,F,890,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,argentimaculatus,F,461,Pilbara,NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,argentimaculatus,M,452,Pilbara,NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,argentimaculatus,F,498,Kimberley,NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Lutjanus,argentimaculatus,M,472,Kimberley,NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Sphryaena,novaehollandiae,F,400,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Sphryaena,novaehollandiae,M,420,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Pomatomus,saltatrix,B,330,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Polydactylus,macrochir,M,229,WA,SW/NW,No,,,protandrous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Polydactylus,macrochir,F,814,WA,SW/NW,No,,,protandrous,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Pseudocaranx,spp,B,310,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Arripis,truttaceus,B,600,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Arripis,truttaceus,B,650,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Sillaginodes,punctatus,F,410,WA,SW/NW,No,,,,A REVIEW OF SIZE LIMITS FOR FINFISH IN WESTERN AUSTRALIA Discussion Paper
Polyprion,oxygeneios,F,760,South coast,SW,Yes,WCO,TL,,"Age-based demography and reproduction of hapuku, Polyprion oxygeneios, from the south coast of Western Australia: implications for management | ICES Journal of Marine Science | Oxford Academic"
Polyprion,oxygeneios,M,702,South coast,SW,Yes,WCO,TL,,"Age-based demography and reproduction of hapuku, Polyprion oxygeneios, from the south coast of Western Australia: implications for management | ICES Journal of Marine Science | Oxford Academic"
Hyporthodus,octofasciatus,B,560,Tropical,NW/SW,Yes,WCO,TL,,Contrasting life history characteristics of the eightbar grouper Hyporthodus octofasciatus (Pisces: Epinephelidae) over a large latitudinal range reveals spawning omission at higher latitudes | ICES Journal of Marine Science | Oxford Academic
Lethrinus,punctulatus,B,206,WA,SW/NW,Yes,,FL,,fish.gov.au
Epinephelus,multinotatus,B,391,WA,SW/NW,Yes,,FL,,fish.gov.au
Pristipomoides,multidens,B,526,WA,SW/NW,Yes,GCD,TL,,fish.gov.au
Hyperoglyphe,antarctica,F,720,WA,SW/NW,Yes,WCO,TL,,fish.gov.au
Hyperoglyphe,antarctica,M,620,WA,SW/NW,Yes,WCO,TL,,fish.gov.au
