"campaignid","sample","mean.relief","biotic.reef","macroalgae","stony.corals","bare.reef","bare.sand","id","sd.relief","fieldofview.facing.down","fieldofview.facing.up","fieldofview.limited","fieldofview.open","biota.ascidians","biota.bryozoa","biota.consolidated","biota.crinoids","biota.hydrocoral","biota.hydroids","biota.invertebrate.complex","biota.macroalgae","biota.mangrove","biota.octocoral.black","biota.seagrasses","biota.sponges","biota.stony.corals","biota.true.anemones","biota.unconsolidated","biota.zoanthids","visibility.0.2m","visibility.2.4m","visibility.4.6m","visibility.6.8m","visibility.8.10m","visibility.10.m","aims.softcoral","aims.filter","aims.encrusting"
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","265",3,0.8,0.1,0.5,0,0.2,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.265",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0.2,0,NA,NA,NA,NA,NA,NA,0.1,0,0.1
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","267",3,0.8,0,0.4,0,0.2,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.267",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.2,0,NA,NA,NA,NA,NA,NA,0.2,0,0.2
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","269",2,0.5,0,0.1,0,0.5,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.269",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,NA,NA,NA,NA,NA,NA,0.1,0,0.3
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","271",2,0.5,0,0.1,0,0.5,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.271",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,NA,NA,NA,NA,NA,NA,0.1,0,0.3
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","273",3,0.9,0,0.6,0,0.1,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.273",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.1,0,NA,NA,NA,NA,NA,NA,0.2,0,0.1
"2000-10_5TownsvilleMidshelfReefs-monoBRUVs","275",3,0.9,0,0.6,0,0.1,"2000-10_5TownsvilleMidshelfReefs-monoBRUVs.275",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.1,0,NA,NA,NA,NA,NA,NA,0.2,0,0.1
"2000-3_3PalmIslands-monoBRUVs","128",2,0.9,0.3,0.1,0,0.1,"2000-3_3PalmIslands-monoBRUVs.128",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0,0.1,0,NA,NA,NA,NA,NA,NA,0,0,0.5
"2000-3_3PalmIslands-monoBRUVs","130",2,0.6,0.2,0,0,0.4,"2000-3_3PalmIslands-monoBRUVs.130",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.4,0,NA,NA,NA,NA,NA,NA,0,0,0.4
"2000-3_3PalmIslands-monoBRUVs","132",2,0.6,0.4,0,0,0.4,"2000-3_3PalmIslands-monoBRUVs.132",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4,0,NA,NA,NA,NA,NA,NA,0,0,0.2
"2000-3_3PalmIslands-monoBRUVs","134",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.134",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","136",2,0.4,0.3,0,0,0.6,"2000-3_3PalmIslands-monoBRUVs.136",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-3_3PalmIslands-monoBRUVs","138",2,0.9,0,0,0,0.1,"2000-3_3PalmIslands-monoBRUVs.138",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,NA,NA,NA,NA,NA,NA,0,0,0.9
"2000-3_3PalmIslands-monoBRUVs","140",0,0.1,0,0,0,0.9,"2000-3_3PalmIslands-monoBRUVs.140",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-3_3PalmIslands-monoBRUVs","142",0,0.2,0.1,0,0,0.8,"2000-3_3PalmIslands-monoBRUVs.142",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-3_3PalmIslands-monoBRUVs","144",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.144",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","146",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.146",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","148",2,0.3,0.2,0,0,0.7,"2000-3_3PalmIslands-monoBRUVs.148",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.7,0,NA,NA,NA,NA,NA,NA,0.1,0,0
"2000-3_3PalmIslands-monoBRUVs","150",3,0.9,0.1,0.2,0,0.1,"2000-3_3PalmIslands-monoBRUVs.150",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0.1,0,NA,NA,NA,NA,NA,NA,0.3,0,0.3
"2000-3_3PalmIslands-monoBRUVs","152",0,0.7,0.1,0,0,0.3,"2000-3_3PalmIslands-monoBRUVs.152",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,NA,NA,NA,NA,NA,NA,0.1,0,0.5
"2000-3_3PalmIslands-monoBRUVs","154",0,0.7,0.1,0,0,0.3,"2000-3_3PalmIslands-monoBRUVs.154",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,NA,NA,NA,NA,NA,NA,0.1,0,0.5
"2000-3_3PalmIslands-monoBRUVs","156",0,0.7,0.1,0,0,0.3,"2000-3_3PalmIslands-monoBRUVs.156",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,NA,NA,NA,NA,NA,NA,0.1,0,0.5
"2000-3_3PalmIslands-monoBRUVs","158",0,0.7,0.1,0,0,0.3,"2000-3_3PalmIslands-monoBRUVs.158",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,NA,NA,NA,NA,NA,NA,0.1,0,0.5
"2000-3_3PalmIslands-monoBRUVs","164",2,0.8,0.2,0,0,0.2,"2000-3_3PalmIslands-monoBRUVs.164",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,NA,NA,NA,NA,NA,NA,0.1,0,0.5
"2000-3_3PalmIslands-monoBRUVs","166",3,0.9,0.1,0.2,0,0.1,"2000-3_3PalmIslands-monoBRUVs.166",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0.1,0,NA,NA,NA,NA,NA,NA,0.3,0.1,0.2
"2000-3_3PalmIslands-monoBRUVs","168",3,0.9,0.1,0.2,0,0.1,"2000-3_3PalmIslands-monoBRUVs.168",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0.1,0,NA,NA,NA,NA,NA,NA,0.3,0.1,0.2
"2000-3_3PalmIslands-monoBRUVs","170",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.170",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","172",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.172",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","174",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.174",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","176",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.176",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","178",0,0.1,0.1,0,0,0.9,"2000-3_3PalmIslands-monoBRUVs.178",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","180",0,0.1,0.1,0,0,0.9,"2000-3_3PalmIslands-monoBRUVs.180",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","182",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.182",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-3_3PalmIslands-monoBRUVs","184",0,0.2,0.1,0,0,0.8,"2000-3_3PalmIslands-monoBRUVs.184",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-3_3PalmIslands-monoBRUVs","187",0,0,0,0,0,1,"2000-3_3PalmIslands-monoBRUVs.187",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","188",0,0.1,0,0,0,0.9,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.188",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","190",0,0.1,0,0,0,0.9,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.190",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0.1,0,0
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","192",0,0,0,0,0,1,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.192",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","194",0,0.2,0.1,0,0,0.8,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.194",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","196",0,1,0,0,0,0,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.196",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","198",0,0.1,0,0,0,0.9,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.198",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","200",2,0.3,0.3,0,0,0.7,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.200",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.7,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","202",0,0.1,0,0,0,0.9,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.202",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","204",2,0.4,0,0.1,0,0.6,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.204",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.6,0,NA,NA,NA,NA,NA,NA,0.1,0,0.2
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","206",0,0.3,0.1,0,0,0.7,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.206",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.7,0,NA,NA,NA,NA,NA,NA,0,0,0.2
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","208",2,0.5,0.2,0,0,0.5,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.208",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.5,0,NA,NA,NA,NA,NA,NA,0,0,0.3
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","210",0,0.4,0.1,0,0,0.6,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.210",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,0,0,0.3
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","212",0,0.2,0.1,0,0,0.8,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.212",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","214",3,0.7,0.1,0.4,0,0.3,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.214",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,0,0.3,0,NA,NA,NA,NA,NA,NA,0.1,0,0.1
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","216",0,0.5,0.3,0,0,0.5,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.216",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.5,0,NA,NA,NA,NA,NA,NA,0,0,0.2
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","218",0,0.2,0.2,0,0,0.8,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.218",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,0,0,0
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","220",2,0.4,0.2,0,0,0.6,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.220",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,NA,NA,NA,NA,NA,NA,0,0,0.2
"2000-4_4TownsvilleMidshelfReefs-monoBRUVs","222",0,0.1,0,0,0,0.9,"2000-4_4TownsvilleMidshelfReefs-monoBRUVs.222",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","360",2,1,0,0,0,0,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.360",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.1,0,0.9
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","361",2,0.1,0,0,0,0.9,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.361",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0.1
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","365",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.365",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","366",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.366",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","367",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.367",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","369",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.369",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","379",2,0.1,0.1,0,0,0.9,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.379",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","382",0,0.1,0.1,0,0,0.9,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.382",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","387",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.387",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","388",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.388",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","390",2,0.2,0.1,0,0,0.8,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.390",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.8,0,NA,NA,NA,NA,NA,NA,0.1,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","393",2,1,0.2,0.5,0,0,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.393",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.2,0,0,0,0,0.5,0,0,0,NA,NA,NA,NA,NA,NA,0.3,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","395",0,0.1,0.1,0,0,0.9,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.395",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","399",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.399",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs","400",0,0,0,0,0,1,"2001-12_8TownsvilleRegionRobberyShoals-monoBRUVs.400",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-9_6MyrmidonRfBowlingGreenBay-monoBRUVs","336",2,0.3,0,0,0,0.7,"2001-9_6MyrmidonRfBowlingGreenBay-monoBRUVs.336",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1
"2001-9_6MyrmidonRfBowlingGreenBay-monoBRUVs","343",0,0,0,0,0,1,"2001-9_6MyrmidonRfBowlingGreenBay-monoBRUVs.343",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2001-9_6MyrmidonRfBowlingGreenBay-monoBRUVs","353",0,0.1,0,0,0,0.9,"2001-9_6MyrmidonRfBowlingGreenBay-monoBRUVs.353",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,NA,NA,NA,NA,NA,NA,0.1,0,0
"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs","403",0,0,0,0,0,1,"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs.403",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs","404",0,0,0,0,0,1,"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs.404",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs","405",0,0,0,0,0,1,"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs.405",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs","406",0,0,0,0,0,1,"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs.406",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs","407",0,0,0,0,0,1,"2002-1_9Cairnsregiontrawlgrounds-monoBRUVs.407",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0
